Date,zip,count
3/6/2020,37217,1
3/10/2020,37214,1
3/11/2020,37013,1
3/11/2020,37204,2
3/11/2020,37205,1
3/11/2020,37210,1
3/11/2020,37212,2
3/11/2020,37214,1
3/11/2020,37215,3
3/12/2020,,1
3/12/2020,37013,1
3/12/2020,37204,1
3/12/2020,37211,1
3/12/2020,37212,1
3/12/2020,37215,1
3/12/2020,37217,1
3/12/2020,37220,1
3/13/2020,,3
3/13/2020,37013,1
3/13/2020,37138,1
3/13/2020,37203,1
3/13/2020,37204,1
3/13/2020,37205,2
3/13/2020,37206,1
3/13/2020,37211,1
3/13/2020,37212,1
3/13/2020,37214,1
3/13/2020,37215,2
3/13/2020,37219,1
3/13/2020,37220,1
3/13/2020,37221,1
3/14/2020,,5
3/14/2020,37013,1
3/14/2020,37027,1
3/14/2020,37203,2
3/14/2020,37210,1
3/14/2020,37211,1
3/14/2020,37212,1
3/14/2020,37215,4
3/14/2020,37220,1
3/15/2020,,6
3/15/2020,37013,1
3/15/2020,37138,1
3/15/2020,37203,3
3/15/2020,37204,1
3/15/2020,37205,3
3/15/2020,37208,1
3/15/2020,37211,1
3/15/2020,37212,2
3/15/2020,37215,3
3/16/2020,,10
3/16/2020,37013,8
3/16/2020,37027,1
3/16/2020,37115,2
3/16/2020,37204,1
3/16/2020,37205,4
3/16/2020,37206,4
3/16/2020,37208,1
3/16/2020,37209,5
3/16/2020,37211,7
3/16/2020,37212,3
3/16/2020,37214,1
3/16/2020,37216,1
3/16/2020,37220,1
3/16/2020,37221,1
3/17/2020,,10
3/17/2020,37013,6
3/17/2020,37076,1
3/17/2020,37203,1
3/17/2020,37204,3
3/17/2020,37205,2
3/17/2020,37206,6
3/17/2020,37208,2
3/17/2020,37209,2
3/17/2020,37210,1
3/17/2020,37211,2
3/17/2020,37212,6
3/17/2020,37214,1
3/17/2020,37215,1
3/17/2020,37216,1
3/17/2020,37217,1
3/17/2020,37219,1
3/17/2020,37220,1
3/17/2020,37221,1
3/18/2020,,6
3/18/2020,37013,6
3/18/2020,37076,1
3/18/2020,37203,10
3/18/2020,37204,5
3/18/2020,37205,6
3/18/2020,37206,1
3/18/2020,37207,1
3/18/2020,37208,3
3/18/2020,37209,9
3/18/2020,37211,2
3/18/2020,37212,4
3/18/2020,37214,2
3/18/2020,37215,5
3/18/2020,37217,2
3/18/2020,37219,1
3/18/2020,37220,2
3/18/2020,37221,6
3/19/2020,,11
3/19/2020,37013,8
3/19/2020,37027,2
3/19/2020,37072,2
3/19/2020,37076,1
3/19/2020,37138,1
3/19/2020,37203,3
3/19/2020,37204,4
3/19/2020,37205,7
3/19/2020,37206,2
3/19/2020,37207,1
3/19/2020,37208,3
3/19/2020,37209,3
3/19/2020,37211,5
3/19/2020,37212,3
3/19/2020,37215,5
3/19/2020,37217,6
3/19/2020,37219,2
3/19/2020,37221,5
3/20/2020,,20
3/20/2020,37013,18
3/20/2020,37027,1
3/20/2020,37076,2
3/20/2020,37115,1
3/20/2020,37138,1
3/20/2020,37189,1
3/20/2020,37203,5
3/20/2020,37204,1
3/20/2020,37205,3
3/20/2020,37206,3
3/20/2020,37207,2
3/20/2020,37208,4
3/20/2020,37209,7
3/20/2020,37211,6
3/20/2020,37212,2
3/20/2020,37214,3
3/20/2020,37215,5
3/20/2020,37216,2
3/20/2020,37217,6
3/20/2020,37218,1
3/20/2020,37220,2
3/20/2020,37221,4
3/21/2020,,5
3/21/2020,37013,5
3/21/2020,37201,1
3/21/2020,37203,2
3/21/2020,37205,3
3/21/2020,37206,1
3/21/2020,37207,3
3/21/2020,37208,2
3/21/2020,37209,2
3/21/2020,37211,5
3/21/2020,37212,1
3/21/2020,37214,1
3/21/2020,37215,1
3/21/2020,37218,1
3/21/2020,37221,1
3/22/2020,,8
3/22/2020,37013,2
3/22/2020,37072,1
3/22/2020,37076,2
3/22/2020,37115,2
3/22/2020,37203,3
3/22/2020,37205,4
3/22/2020,37206,2
3/22/2020,37207,3
3/22/2020,37208,1
3/22/2020,37209,1
3/22/2020,37211,2
3/22/2020,37212,2
3/22/2020,37215,3
3/22/2020,37216,2
3/22/2020,37217,2
3/22/2020,37221,2
3/23/2020,,14
3/23/2020,37013,13
3/23/2020,37027,3
3/23/2020,37072,1
3/23/2020,37076,2
3/23/2020,37115,3
3/23/2020,37138,1
3/23/2020,37203,3
3/23/2020,37204,1
3/23/2020,37205,1
3/23/2020,37206,4
3/23/2020,37207,2
3/23/2020,37208,1
3/23/2020,37209,5
3/23/2020,37211,4
3/23/2020,37212,2
3/23/2020,37214,3
3/23/2020,37215,2
3/23/2020,37217,3
3/23/2020,37218,4
3/23/2020,37221,5
3/24/2020,,6
3/24/2020,37013,7
3/24/2020,37076,2
3/24/2020,37138,2
3/24/2020,37203,4
3/24/2020,37204,2
3/24/2020,37205,3
3/24/2020,37206,4
3/24/2020,37207,6
3/24/2020,37208,2
3/24/2020,37209,2
3/24/2020,37210,3
3/24/2020,37211,7
3/24/2020,37212,1
3/24/2020,37214,2
3/24/2020,37215,3
3/24/2020,37216,1
3/24/2020,37217,6
3/24/2020,37218,1
3/24/2020,37221,2
3/25/2020,,1
3/25/2020,37013,7
3/25/2020,37072,4
3/25/2020,37076,2
3/25/2020,37115,3
3/25/2020,37138,1
3/25/2020,37204,1
3/25/2020,37205,4
3/25/2020,37206,2
3/25/2020,37207,4
3/25/2020,37208,2
3/25/2020,37209,6
3/25/2020,37210,2
3/25/2020,37211,6
3/25/2020,37212,1
3/25/2020,37214,1
3/25/2020,37215,3
3/25/2020,37217,1
3/25/2020,37221,3
3/25/2020,37228,1
3/26/2020,,2
3/26/2020,37013,6
3/26/2020,37076,3
3/26/2020,37115,2
3/26/2020,37138,1
3/26/2020,37203,6
