county_fips,never,rarely,sometimes,frequently,always,date,county,state,cases,deaths,pop_est_2019,good_compliance,good_rank
47001,0.088,0.105,0.112,0.215,0.48,2020-03-20,Anderson,Tennessee,1,0,76978.0,0.695,24.0
47003,0.164,0.093,0.246,0.248,0.249,2020-03-25,Bedford,Tennessee,1,0,49713.0,0.497,89.0
47005,0.169,0.109,0.206,0.21,0.306,2020-03-26,Benton,Tennessee,1,0,16160.0,0.516,87.0
47007,0.082,0.122,0.131,0.251,0.415,2020-03-28,Bledsoe,Tennessee,2,0,15064.0,0.6659999999999999,35.0
47009,0.069,0.089,0.097,0.183,0.562,2020-03-20,Blount,Tennessee,1,0,133088.0,0.7450000000000001,12.0
47011,0.121,0.098,0.126,0.282,0.373,2020-03-20,Bradley,Tennessee,1,0,108110.0,0.655,40.0
47013,0.059,0.075,0.204,0.109,0.554,2020-03-14,Campbell,Tennessee,1,0,39842.0,0.663,37.5
47015,0.209,0.089,0.238,0.182,0.282,2020-03-26,Cannon,Tennessee,1,0,14678.0,0.46399999999999997,93.0
47017,0.179,0.088,0.163,0.234,0.337,2020-03-21,Carroll,Tennessee,1,0,27767.0,0.5710000000000001,69.0
47019,0.115,0.031,0.151,0.215,0.487,2020-03-28,Carter,Tennessee,1,0,56391.0,0.702,20.5
47021,0.018,0.067,0.155,0.28,0.48,2020-03-18,Cheatham,Tennessee,1,0,40667.0,0.76,10.5
47023,0.108,0.068,0.122,0.362,0.34,2020-03-22,Chester,Tennessee,1,0,17297.0,0.702,20.5
47025,0.163,0.114,0.091,0.236,0.397,2020-03-24,Claiborne,Tennessee,1,0,31959.0,0.633,46.0
47027,0.099,0.105,0.264,0.126,0.406,2020-04-01,Clay,Tennessee,1,0,7615.0,0.532,85.0
47029,0.197,0.118,0.082,0.171,0.431,2020-03-21,Cocke,Tennessee,1,0,36004.0,0.602,63.5
47031,0.165,0.09,0.174,0.208,0.363,2020-03-29,Coffee,Tennessee,1,0,56520.0,0.571,70.5
47033,0.14,0.078,0.123,0.226,0.432,2020-04-18,Crockett,Tennessee,3,0,14230.0,0.658,39.0
47035,0.096,0.093,0.201,0.214,0.395,2020-03-19,Cumberland,Tennessee,1,0,60520.0,0.609,59.0
47037,0.02,0.037,0.086,0.181,0.677,2020-03-08,Davidson,Tennessee,1,0,694144.0,0.8580000000000001,2.0
