county_fips,never,rarely,sometimes,frequently,always,date,county,state,cases,deaths,pop_est_2019,good_complience,good_rank
47037,0.02,0.037,0.086,0.181,0.677,2020-03-08,Davidson,Tennessee,1,0,694144.0,0.8580000000000001,42.0
06037,0.021,0.013,0.049,0.131,0.786,2020-01-26,Los Angeles,California,1,0,10039107.0,0.917,11.0
17031,0.023,0.021,0.072,0.162,0.722,2020-01-24,Cook,Illinois,1,0,5150233.0,0.884,34.5
48201,0.019,0.024,0.069,0.152,0.736,2020-03-05,Harris,Texas,4,0,4713325.0,0.888,30.0
04013,0.023,0.025,0.059,0.158,0.734,2020-01-26,Maricopa,Arizona,1,0,4485414.0,0.892,28.0
06073,0.017,0.023,0.034,0.126,0.8,2020-02-10,San Diego,California,1,0,3338330.0,0.926,5.5
06059,0.023,0.021,0.046,0.156,0.754,2020-01-25,Orange,California,1,0,3175692.0,0.91,17.0
12086,0.032,0.023,0.06,0.128,0.756,2020-03-11,Miami-Dade,Florida,1,0,2716940.0,0.884,34.5
48113,0.024,0.019,0.059,0.141,0.757,2020-03-10,Dallas,Texas,2,0,2635516.0,0.898,23.0
06065,0.026,0.014,0.041,0.116,0.803,2020-03-07,Riverside,California,1,0,2470546.0,0.919,9.0
32003,0.027,0.032,0.054,0.145,0.742,2020-03-05,Clark,Nevada,1,0,2266715.0,0.887,32.0
53033,0.016,0.02,0.05,0.191,0.724,2020-02-28,King,Washington,1,0,2252782.0,0.915,12.0
06071,0.027,0.022,0.048,0.134,0.768,2020-03-15,San Bernardino,California,1,0,2180085.0,0.902,20.0
48439,0.023,0.034,0.077,0.144,0.722,2020-03-10,Tarrant,Texas,1,0,2102515.0,0.866,40.0
48029,0.015,0.016,0.057,0.09,0.822,2020-02-12,Bexar,Texas,1,0,2003554.0,0.9119999999999999,15.0
12011,0.026,0.023,0.043,0.117,0.791,2020-03-06,Broward,Florida,2,0,1952778.0,0.908,18.0
06085,0.015,0.014,0.04,0.168,0.764,2020-01-31,Santa Clara,California,1,0,1927852.0,0.932,3.0
26163,0.046,0.032,0.075,0.156,0.69,2020-03-10,Wayne,Michigan,1,0,1749343.0,0.846,45.0
06001,0.019,0.008,0.055,0.123,0.795,2020-03-01,Alameda,California,1,0,1671329.0,0.918,10.0
25017,0.023,0.011,0.041,0.127,0.798,2020-03-05,Middlesex,Massachusetts,1,0,1611699.0,0.925,7.0
42101,0.023,0.012,0.051,0.12,0.794,2020-03-10,Philadelphia,Pennsylvania,1,0,1584064.0,0.914,13.0
